id,Created At,Number,VC Area,Department - Label,Department - ID,Department,Short Name of Idea/Solution,Description,Attachments (optional),Is this an existing AI tool/solution?
68a72fecd2a1d009d63d8444,2025-08-21T14:40:43.835Z,151,Chief Financial Officer,HOUSING,HOUSING,HOUSING,AI Powered Request Form with AI Agents Complete Simple Tasks,"Residential, Retail, and Supply Chain Services/HDH has several service areas that have form based request processes - Conference Services, Guest Suites, Catering - that all have request forms online that then route to the teams to manually review and begin their manual workflow processes.  Instead, if workflow (AI supported or not) could help route the request based on complexity, simple requests could likely be handled by an AI Agent that could 1) check calendars, 2) create reservations, 3) create work orders in relevant systems (for food, AV, staff, etc), 4) send emails back to clients. Complex request that require back and forth with a client could still be routed to a human, but maybe event part of their process could be supported by AI Agents once they've worked out the necessary details with clients.",,No
689fa4a032f0b4111b727dec,2025-08-15T21:20:32.531Z,147,Chief Financial Officer,,,,Use API with TritonGPT to Add Descriptions to Surplus Sales Images of Items for Sales,"Surplus Sales is the official campus reseller of university equipment. They list the items they sell on their own website (surplus.ucsd.edu) and also government auction site with images and product descriptions. These images and product descriptions are manually created/ entered, which can be time consuming. We've tried uploading images into TritonGPT and asking for it to generate product descriptions and it did reasonably well, but manually uploading the images and copying the descriptions is still time consuming. We'd like to be able to leverage an API where we could pass the image  - or more like set of images - to TrironGPT and it would pass back the description. ",,No
684307408fa7eff3af5d0894,2025-06-06T15:20:32.371Z,144,Chief Financial Officer,BUSINESS AND FINANCIAL SERV.,BUSINESS AND FINANCIAL SERV.,BUSINESS AND FINANCIAL SERV.,Utilize AI to help negotiate terms and conditions in Procurement contracts,"Procurement often receives requests to agree to supplier's terms and conditions before an order can be placed. These terms can conflict with standard University PO terms, and extensive review is require to red line the supplier's terms in order to meet university requirements. These university requirements can be contained in various documents, including UC PO terms, Data Security requirements, Privacy requirements, GASB96 requirements, and Covered Services, among others. The ability of an AI application to review these requirements and compare them with proposed contract language from suppliers would save our Contract Managers valuable time, especially in the ""first pass"" stage of contract negotiation. UCOP and other campuses have expressed an interest is this type of technology as well.",,No
683a3fb9ab3cf91dd754e2ee,2025-05-30T23:31:05.697Z,142,Chief Financial Officer,INFORMATION TECHNOLOGY SVCS,INFORMATION TECHNOLOGY SVCS,INFORMATION TECHNOLOGY SVCS,Triton GPT as a Student Class Schedule Builder,"Leverage data integrations and TGPT's ability to help students build their quarterly class schedule.  This will be used to assist students in enrolling in classes, checking for time conflicts, checking for finals conflicts etc. (pls see attached requirements list - not all requirements are hard-requirements).  TGPT can already do many of these functions (with outdated class schedule information) - we would like to extend these capabilities using current class schedule, pre-requisite, course repeat/restriction, and finals schedule data.  Requirements can be found at:  https://ucsdcloud-my.sharepoint.com/:x:/g/personal/dgarrison_ucsd_edu/EV8GZnfqwpBPiR3_Mp_Fiw8BBZ07kgy9z_GphGeTY0Jz2A?e=raXPPR ",,No
67fee5a06f03c213226e808f,2025-04-15T23:02:55.907Z,139,Academic Affairs,ADMISSIONS,ADMISSIONS,ADMISSIONS,Automated Transcript Validation,"Purpose
Reduce time spent on the transcript validation process

Description
An AI-driven document analysis tool that validates grades, verifies fulfillment of provision requirements, and identifies transferable coursework from student transcript submissions

Current State
- Admissions officers currently spend significant time in the transcript validation process on routine tasks such as information verification and manual course detail entry
- They also spend a substantial amount of time on communication with students regarding incomplete or incorrect transcript submissions
- An AI-enabled solution can automate routine administrative tasks such as grade validation, provision fulfillment verification, and course detail entry, as well as perform more complex analyses such as identifying transferable coursework and generating student communications
- This solution shifts Admissions Officers' role to primarily monitoring and exception handling, freeing them to focus on higher-value student support activities

Potential Impact
- Reduces processing time and increases transcript validation throughput
- Frees staff from routine administrative tasks, allowing reallocation to higher-value student support activities
- Improves handling of non-articulated or out-of-state courses
- Reduces student wait times, potentially improving the enrollment experience",,No
6792cd8aa1e980ab65c1794a,2025-01-23T23:15:21.753Z,132,Academic Affairs,ADMISSIONS,ADMISSIONS,ADMISSIONS,Course Requirements Mapping,"A tool that compares applicant-submitted courses with transferability guidelines and program-specific major prep requirements, verifying whether the courses meet necessary criteria.

Key points:
- Prospective transfer students select one major and one alternative major when submitting their application. Currently, admissions staff must research the major to understand the required courses, and then manually check the applicant’s course history, course by course, to confirm if all requirements are met
- Manually entering coursework for incomplete or inaccurate applications increases workload
- Multiple different systems and windows are used simultaneously to execute the process (TES, Assist.org, etc.)
- There is reported difficulty in evaluating major prep for non-articulated courses and coursework from four-year or out-of-state institutions",20250115 AI Tech Solutions - Admissions.pptx,No
6792cb84a1e980ab65c16845,2025-01-23T23:06:44.719Z,131,Academic Affairs,ADMISSIONS,ADMISSIONS,ADMISSIONS,Submission Completeness Checker,"An AI-driven document analysis tool that verifies whether a student’s submission (e.g., transcript or application) is complete and adheres to formatting and content requirements

Key points:
- A significant number of student application and transcript submissions currently are incomplete or fail to meet requirements (>41% of submissions for some processes)
- Admissions Officers spend significant time communicating with students and manually entering data to resolve issues
- An AI-driven checker can verify submissions instantly and alert students when their submissions are incomplete or incorrect
- By ensuring only complete and compliant submissions advance to the full application review process, the solution saves both time and effort for staff and students, cutting down on manual interventions and accelerating cycle times",20250115 AI Tech Solutions - Admissions.pptx,No
672d4a202b821a6b806941b3,2024-11-07T23:15:43.617Z,130,Research and Innovation,RESEARCH COMPLIANCE AND INTEGR,RESEARCH COMPLIANCE AND INTEGR,RESEARCH COMPLIANCE AND INTEGR,COI Office AI Project: UC San Diego Personal Assistant for Guidance on Engagements (PAGE) for Faculty and Researchers ,"Domestic and International collaborations are vital to UC San Diego’s research ecosystem. UC San Diego has been at the forefront and integral to understanding that the progress of science is based on interdisciplinary and collaborative. The current process is unclear and cumbersome.  In order to ensure success, UC San Diego must provide Researchers a tool to provide both guidance, actionable steps and a risk assessment of a collaboration or outside activity.

UC San Diego Researchers are requested to collaborate and engage with other researchers every day and around the world. Examples of these foreign and domestic engagements could be answering questions about a most recent publication, co-authoring a paper, sharing scientific materials or data, full scale U.S. government funded projects to visiting appointments at other universities, international scientific centers between universities, and everything else in between (i.e., teaching, educational programmatic development, sabbatical, etc.). Given the volume of UCSD researchers and the number of opportunities they are presented with, we need a sustainable and real-time solution to guide and analyze the risk level of the potential engagement and continued updates to the Researcher on new regulations or updates.

The Use Case:  
A UC San Diego Researcher with active federal funding has been invited by an outside entity (foreign or domestic) to present on their research, to collaborate on research, potentially be offered a visiting appointment, offered access to resources, and/or to teach. Primary questions when receiving such an invitation from Researchers are: 
•	What is permissible? 
•	Is prior approval required?
•	What system(s) is used for review and approval? 
•	When and who needs to be informed at UC San Diego and externally? 
•	Will the engagement impact current or future federal funding? 
•	What is considered a Malign Foreign Talent Recruitment Program (MFTRP), prohibited by federal agencies? 

Current Challenges: 
At this time, UC San Diego Researchers must review many websites and/or contact many central offices (such as, Departmental support or ARC, Academic Personnel Services, the COI Office, specific federal agency requirements, International Engagement, Travel, Risk Management, etc.) to fully understand all processes, IT systems, and policies to determine whether an invitation by an outside entity (foreign or domestic) is permissible, whether prior approval is required, what systems are used, and which offices must provide approval. Researchers must be informed of the risk levels of a potential collaboration, how to mitigate risks if necessary, and when to be transparent and disclose these collaborations within UC San Diego and to federal agencies. Most collaborations are considered low to medium risk and therefore UCSD researchers shouldn’t have to spend time reviewing websites or consulting with central offices.  There is currently no efficient and effective solution.
Why do UC San Diego Researchers need to be mindful about collaborations?
Since 2018, foreign influence reviews with the National Institutes of Health (NIH), NSPM-33, and the CHIPS and Science Act (prohibition of Malign FTRPs), taught educational institutions that collaborations (on behalf of UCSD or as an outside activity) with non-U.S. entities requires disclosure, due diligence, and scrutiny. Researchers must consider a risk-based approach when considering collaborations, because of the potential that the collaboration could have a damaging effect and cause foreign interference to the U.S. research enterprise.  UC San Diego already experienced the effect in 2018; and it must provide meaningful and supportive guidance to our UCSD Researchers in real-time when the Researcher is being invited to a collaborative opportunity. 

Why do we need UCSD AI PAGE? 
It is imperative that UCSD identify potential risks, so as not to inadvertently create an environment that halts international collaborations due to a Researcher’s confusion or lack of awareness on how to manage potential research security concerns. The UCSD AI PAGE tool will provide the supportive guidance, actionable steps and real-time mitigation when the UCSD Researcher is considering potential collaborative opportunities (within UCSD or independently as an outside activity) within a closed and private AI model. As new regulations and settlements become deployed, the UCSD AI PAGE tool will query all past interactions with a UCSD Researcher and produce a list of Researchers that should receive new and updated information (i.e. 1286 list FY22 released in 2023, and FY23 released in 2024). This with protect and provide immediate support to the Researcher while minimizing UCSD’s risk posture. 

In addition to UCSD AI PAGE’s ability to review and provide high level guidance on Export Controls regulations and sanctions on foreign countries, the U.S. Government has further expanded their concerns with countries of concern from China, Iran, North Korea, and Russia.  The U.S. Government has required Universities to assess if the research is considered within the definition of Critical Emerging Technologies (CET) the list of which is vastly broad and extensive. 

Given the inclusion by the U.S. government in 2023 of the prohibition of Malign FTRPs, UCSD researchers must be informed on what engagement risks may impact the ability to accept federal funding for their research. Since many engagement opportunities are not considered MFRTPs, UCSD researchers should not deny themselves these engagement opportunities. UCSD researchers need instant guidance, awareness, education, and the next steps of disclosure/regulations steps that include a clear risk level. Most opportunities are low risk, and Researchers need the support and guidance quickly and simply. The high risks can come from a country of concern, an entity or program on the 1286 list (from the Chips and Science Act), critical emerging technology, controlled technology, a sanctioned country, or include characteristics of an Malign FTRP, etc.  The high-risk determinations from UCSD AI PAGE would require the Researcher to schedule a meeting with RCI Research Security. 

The UCSD AI PAGE at its infancy will answer fundamental questions like, “I am a faculty member with federal research and have been invited to speak at x university (non-US entity) is this permissible and what do I need to do to disclose?” The results would provide the researcher with the policies and actionable steps required while identifying risk level and mitigation steps. 

The UCSD AI PAGE will diminish redundant reviews across many UCSD offices: UCSD AI PAGE would assist UCSD Researchers, departments, academic personnel (COC policies), the Conflict of Interest Office, RCI Research Security, Research Integrity and Oversight (RIO), International Offices (GI, international office), Export Control Office, risk management, travel, overall compliance, etc. 
",UCSD COI AI PAGE 2024 Final.docx,No
67254f3ded045e65dc5ddd45,2024-11-01T21:59:25.010Z,128,Chief Financial Officer,,,,TritonGPT Guided Buying Assistant ,"We have many systems for expenses at UC San Diego, and knowing the right system and required documentation for each use case can be difficult to manage. Guided Buying, as an interactive TritonGPT assistant, could close this gap. In Guided Buying, TritonGPT can display a series of prompts that guides users through a series of relevant questions/decision points to help them understand 1) the process for procuring or paying for what they're buying, 2) which system to do it with, 3) any relevant requirements/special conditions that may apply (ex. If trying to contract a service that a covered-employee also performs, you need sign off from Labor Relations first. Or, if you're buying a new piece of software, the Privacy and Security Teams need to be involved first). This would reduce training/ramp up time for new employees, reduce Services and Support questions, and reduce the percentage of transactions that are sent back for revisions due to not including the necessary information/documentation up front. ",,No
67129485f5a356eb75af2fa2,2024-10-18T17:01:57.743Z,124,RMP,,,,Cross reference Design Guidelines and Specifications,"Steven's Note: Not sure what Walter's VC Area is, so this was my best guess.

We have a 250+ page design guideline and thousands of pages of specifications that could be used as a LLM to cross check design submittals. Certain aspects are required design criteria that could be identified for all projects and use AI for preliminary reviews savings reviews by multiple SME's for initial pass. SME review is still required for unique design solutions but in general this could save substantial time on flagging items that don't follow standards.",,No
66f6ea55bcd98778fa840f3e,2024-09-27T17:24:37.164Z,119,Chief Financial Officer,INFORMATION TECHNOLOGY SVCS,INFORMATION TECHNOLOGY SVCS,INFORMATION TECHNOLOGY SVCS,Vision Assistant,"With the launch of Llama 3.2, 90B, we have the capability for TGPT to recognize the contents of an image file. Early tests show that it has the capability to ""analyze"" a chart or graph and help provide insights into the data being visualized. There are likely a host of other use cases. It may be worth starting with an assistant designed for this purpose then determining whether the ""vision"" capabilities can be folded into the other assistants. ",,No
66f6e843bcd98778fa84034d,2024-09-27T17:15:46.288Z,118,Chief Financial Officer,INFORMATION TECHNOLOGY SVCS,INFORMATION TECHNOLOGY SVCS,INFORMATION TECHNOLOGY SVCS,Internet Search Assistant,"We've had anecdotal requests wondering if TGPT can search the internet and bring back natural language responses, similar to Perplexity. Now that Danswer supports tool calling, we have the ability to do that and have identified a low cost utility that will perform this. ",,No
66f6e780bcd98778fa83ffcf,2024-09-27T17:12:31.326Z,117,Chief Financial Officer,INFORMATION TECHNOLOGY SVCS,INFORMATION TECHNOLOGY SVCS,INFORMATION TECHNOLOGY SVCS,Suspicious Email Reviewer,Copy and paste the contents of an email into an assistant and get an analysis and risk score of how likely the email is to be a phishing attempt. ,,No
66ed9b518548cd9295eda018,2024-09-20T15:57:04.322Z,115,Chief Financial Officer,,,,Virtual Agent for CRM,"Integrated Procure-to-Pay Solutions (IPPS) handles a large number of inquiries from both internal and external clients that are vital to the university's day-to-day functioning (approx 40,000/year). IPPS's tier 1 support queues take up around 43.35% of our total case volume within Services & Support. Our agents are able to manage an average of 95 cases per week but face overutilization due to other projects and tasks that are associated with their job card. The case count stands around 148 per queue which exceeds capacity by 55.79% and impedes on our ability to resolve cases within our 24 hour desired window. When queues are backed up, this can lead to a ripple effect, causing dissatisfaction among the university's suppliers, delays in research projects due to missing goods, and other significant consequences.

Our solution is to look for a virtual agent that can support our case volume and reduce the amount of cases that are sent to our teams. The virtual agent would be available in the hours our agents are unable to work, answer the status questions, and provide instructions to clients seeking to understand our processes better. This will significantly reduce the workload of human agents, resulting in tangible cost savings by eliminating the need to hire extra resources. Our agents would also be able to work on other initiatives such as outreach to clients and optimizing training material. We are in the process of searching for a virtual agent through an RFI with other stakeholders in the university to ensure we are sourcing the appropriate solution. In addition to our research, we have begun to identify resources that need to be updated, which should lighten the lift of preparation during the implementation stage. We hope to procure a virtual agent in the future or similar solution that allows us to respond to our inquiries sooner and provide a better experience to our clients. 
",,No
66ed9aa683e44a823c2f5ac9,2024-09-20T15:54:13.298Z,114,Chief Financial Officer,,,,RPA - Robotic Process Automation,"Integrated Procure-to-Pay Solutions (IPPS) handles a large number of inquiries from both internal and external clients that are vital to the university's day-to-day functioning (approx 40,000/year). IPPS's tier 1 support queues take up around 43.35% of our total case volume within Services & Support. Our agents are able to manage an average of 95 cases per week but face overutilization due to other projects and tasks that are associated with their job card. The case count stands around 148 per queue which exceeds capacity by 55.79% and impedes on our ability to resolve cases within our 24 hour desired window. When queues are backed up, this can lead to a ripple effect, causing dissatisfaction among the university's suppliers, delays in research projects due to missing goods, and other significant consequences.

Our solution is to look for a virtual agent that can support our case volume and reduce the amount of cases that are sent to our teams. The virtual agent would be available in the hours our agents are unable to work, answer the status questions, and provide instructions to clients seeking to understand our processes better. This will significantly reduce the workload of human agents, resulting in tangible cost savings by eliminating the need to hire extra resources. Our agents would also be able to work on other initiatives such as outreach to clients and optimizing training material. We are in the process of searching for a virtual agent through an RFI with other stakeholders in the university to ensure we are sourcing the appropriate solution. In addition to our research, we have begun to identify resources that need to be updated, which should lighten the lift of preparation during the implementation stage. We hope to procure a virtual agent in the future or similar solution that allows us to respond to our inquiries sooner and provide a better experience to our clients. 
",,No
66e31a65ac82e9c98d940de7,2024-09-12T16:44:21.147Z,112,Academic Affairs,ACADEMIC PERSONNEL SERVICES,ACADEMIC PERSONNEL SERVICES,ACADEMIC PERSONNEL SERVICES,Faculty BioBibs into Interfolio Faculty 180,"Create a TritonGPT Task-Specific AI Assistant that could take a faculty member’s current BioBib document (in the correct UC format as a PDF or Word document) and place the information properly into the Interfolio Faculty180 tool which can then output the information in a variety of desired formats (BioBib style, NSF style, NIH style, etc.).  This would be extremely helpful in getting all of our faculty BioBibs into Interfolio in a way that promotes transparency throughout the academic review process.",,No
66e1bc5847bef54305ddf015,2024-09-11T15:50:47.451Z,110,Marine Sciences & SIO,,,,TGPT sandbox for developing proof-of-concept business solutions,"Several of us at the SIO-BI team have been following closely the TGPT development since its inception and ""playing"" around with it.   Similarly, we've also been exploring Gemini, MS Co-pilot, ChatGPT and looking for productivity gains where possible.  Lately, I've been exploring semantic search as a potential tool to help in two separate use cases and have run into the issue of data security.  In one case, utilizing unstructured Academic Personnel data, we have P2 and P3 data so we need to tokenize and prompt for it in a secure environment.  We have an entire database of historical data and are obviously not a candidate for existing tools since we need both, a safe repository for the tokenized data and a secure LLM which will not use said data for training purposes, or will clearly state the data will be deleted within a particular time frame.  

Since TGPT is housed in a safe, closed and secure environment at the SDSC, we would like to know if there are plans for allow UCSD Divisions, Department to have access to the same infrastructure.  Ideally, a sandbox scenario where we could store tokens, ie. a vector database, and a Llama LLM would provide enough to develop proof-of-concept business solutions in the short term.   If we have success we may be able to build our own environment for a production level solution since stakeholders would see the benefits and fund it.   Of course, we would cover set up costs for a sandbox at SDSC if that option was available. 
",,No
